WKT,OBJECTID,LENGTH
"MULTILINESTRING ((771345.157007074 84708.5414093154,771343.485708778 84709.9786075923,771345.488606332 84712.9668044835,771341.814910566 84710.420206964,771332.241821706 84702.6706146566,771305.539854835 84656.9647625704,771310.78045006 84645.7940752891,771280.833884482 84626.4165940066,771266.484602749 84596.4274257175,771168.967815509 84525.4575953202,771178.999105795 84510.7494123358,771147.17694493 84460.283665047,771149.878946374 84408.8418217868,771148.432848222 84405.7433250674,771175.881226075 84313.6033286284))","1653",
"MULTILINESTRING ((764701.902259239 88526.9394309539,764702.686858462 88525.9476321177,764704.346756391 88528.8232290899,764685.735874246 88558.4659947633,764656.661004923 88572.9329762621,764606.095958777 88592.3760503924,764549.731518561 88616.9064184032,764543.371523627 88638.9157935663,764543.132621651 88664.4708653524,764539.32762352 88690.9047358573))","1654",
"MULTILINESTRING ((772051.531064255 87820.2360528692,772074.818140491 87800.7786762855))","1682",
"MULTILINESTRING ((766601.736107949 90399.8692332505,766598.738612438 90386.366347865,766596.479627419 90245.5406028713,766589.295142676 90162.4529938047,766553.231785674 90123.9311330624,766398.387464157 90027.8204252715,766367.167499172 90019.441031742,766361.526104557 90028.5683211824,766360.640005628 90027.4643223208))","1683",
"MULTILINESTRING ((770269.578982786 85885.5897233622,770271.361780966 85884.0419252174,770276.265676183 85877.2963330561,770277.715474902 85873.7570370729,770274.263178681 85873.755036777,770274.041479087 85871.874138824,770272.261281275 85869.1074417119,770265.026589814 85861.9122489958,770259.790995329 85864.4537457504,770257.33989785 85866.3330434731,770252.883002395 85870.2025388345,770222.467633792 85892.2005120252,770208.541548226 85901.596100494))","1684",
"MULTILINESTRING ((722246.963444813 69207.8103401664,722254.05493732 69201.0717482616))","1688",
"MULTILINESTRING ((770236.861019639 85873.6137337006,770246.945609121 85867.5749412109))","1689",
"MULTILINESTRING ((753151.630129914 102473.46783049,753151.674530166 102470.27963404,753151.664030214 102469.917334442))","1699",
"MULTILINESTRING ((773731.010276285 79043.6217260647,773727.561080779 79034.7732354791,773757.521948873 79025.0526486055,773769.668035822 79022.5090523948,773795.50480871 79009.2528690569,773803.86189996 79004.7228747102,773812.220891491 78996.7617841266,773816.789987162 78988.7984932311,773821.358382729 78982.0502010056,773822.036682946 78970.4313137955,773820.933085272 78956.8269286173,773814.821895308 78915.9939728702,773815.617296171 78894.9815959684,773816.966996985 78867.2091265218,773818.539397345 78841.9870542963,773837.068382736 78773.7374306299,773842.643078361 78752.9407538844,773845.321176721 78737.344671198,773847.561875769 78719.1982912733,773853.375273398 78670.8606447324,773854.622074276 78643.6444746636,773859.63737061 78621.6235992124,773888.52594583 78539.4416916602,773893.882641174 78524.9506079849,773880.517156099 78520.8542113765,773886.544850555 78508.2459256898,773898.902336746 78512.1193224585,773910.618627002 78475.0701640284,773919.090720025 78447.4127950357,773928.25831445 78393.4294549531,773939.98690802 78315.7729410231,773940.441408493 78303.9315540385,773938.256916638 78233.6770308558,773940.723017092 78195.2874731297,773942.40141642 78181.1281887855,773961.70680123 78109.336369046,773972.203494761 78048.3896366967,773976.006492623 78023.8269639269,773977.344791685 78017.4106710687))","1703",
"MULTILINESTRING ((742143.525223369 69175.2764922374,742149.876917236 69162.5591068763))","1731",
