WKT,OBJECTID
"MULTILINESTRING ((720668.081342453 73105.0103299489,720734.434866701 73120.5181172311))","19130"
"MULTILINESTRING ((774786.204117711 80332.5139010469,774779.541826845 80310.1618249823,774807.495797134 80300.6628377208,774776.472038963 80204.955639997,774639.343000188 80065.8107810363,774627.545013273 80063.2635828457,774605.823537116 80061.5917828717))","19132"
"MULTILINESTRING ((764412.522071135 95296.754733801,764421.10616261 95286.801445578))","19138"
"MULTILINESTRING ((774140.938445371 82434.768142749,774142.335543271 82441.5571354249))","19140"
"MULTILINESTRING ((775258.87619417 80426.364437685,775256.482996583 80428.7458348768,775253.934999139 80431.4353317161,775252.22810086 80433.1049297461,775249.402003665 80436.4426258539))","19141"
"MULTILINESTRING ((775259.015193987 80426.7674372539,775256.936496047 80429.2257343879,775254.536998436 80431.9751311767,775252.896100078 80433.7448291013,775249.890803107 80436.7384255705))","19144"
"MULTILINESTRING ((774189.499490764 82453.4981263272,774169.456513913 82438.5801409845))","19145"
"MULTILINESTRING ((774187.827492586 82453.5471261307,774169.028514325 82439.201140267))","19146"
"MULTILINESTRING ((738487.463702975 71722.6273816877,738481.135513176 71679.7089291952,738481.024013387 71678.4851305551,738480.799713614 71678.8188301654,738481.023313268 71680.1446286993))","19149"
"MULTILINESTRING ((731786.285243113 77548.7537527697,731784.724644547 77552.8454480568,731779.251347642 77592.4391031852,731779.696247077 77593.3241022258,731779.696047043 77593.7666017298))","19150"
"MULTILINESTRING ((719860.487590643 71152.6218771172,719860.517890139 71159.2413696426,719861.334288877 71164.0518642667))","19156"
"MULTILINESTRING ((730837.769718644 76037.3837779498,730858.376297326 76014.3830053341,730862.61199236 76017.3700023008,730927.260314 76097.589317078,730978.336351938 76162.9789474916,731008.274615166 76206.4620009174,731014.730007486 76212.5464945714,731063.018449031 76271.4084321129,731104.199199143 76322.0812783177,731107.649494826 76328.1643717462,731190.213394347 76435.7123572137,731149.228037429 76472.1930131481,731146.20813987 76484.5772990115,731170.243010424 76518.4350628077,731181.929896197 76533.6995465517,731194.278081005 76551.9496269925,731141.154236575 76602.8038658615,731024.094060516 76695.2180532084,730969.74211814 76737.1162020326))","19157"
"MULTILINESTRING ((776194.485340039 75971.5190917395,776141.321692133 76043.8417083043,776133.296199831 76056.7830934937,776114.906018426 76074.6987724016,776093.187341273 76084.8695595157,776028.466210211 76104.6342326527,775988.139652888 76120.4336121013,775959.947880744 76155.9355709686,775955.712184286 76169.212556096,775951.680685968 76202.7242190951,775945.095691103 76227.9532909508,775934.848801306 76239.8919770557,775928.160707934 76248.0767675554,775904.42823194 76271.0806404583,775844.370993787 76315.7372867206,775808.365328628 76370.1526242449,775796.007442384 76366.6037271296,775793.446444694 76372.583620377,775804.690831739 76381.2137118412,775780.946353884 76427.3357594362,775760.20897294 76471.1411098065,775743.81938833 76501.6694750624,775727.186100946 76569.6986992489,775723.28800437 76579.869287799,775711.441911506 76651.1188088474,775681.603429 76836.1882038373,775675.356434067 76857.6525798339,775662.210346591 76879.88295443,775617.522792327 76916.5907106126,775584.998526185 76936.2607864335,775569.067942807 76945.4423750854,775552.359461205 76943.2172761629,775538.667076458 76939.2224794237,775525.292089926 76952.9399633165))","19160"
"MULTILINESTRING ((777343.905692958 77138.8825080934,777350.941789224 77090.7575612996,777307.955636381 77086.6359622971,777299.265746034 77084.3130641268,777293.364452244 77086.962160748))","19162"
"MULTILINESTRING ((772719.393533442 84369.9047989668,772688.887468151 84353.9563138551))","19169"
"MULTILINESTRING ((730148.943464073 78994.3830031687,730146.265467123 78993.7143037137,730065.778958124 78982.0619106033,730052.192273522 78979.627012291,730050.851573965 78993.337696777,730049.840674602 78999.7523894884))","19174"
"MULTILINESTRING ((772056.419279432 96424.5355984261,772057.55687828 96423.5785995831,772058.251577569 96423.0275002551,772058.877576921 96422.66710071,772059.779776013 96421.7986017485))","19176"
"MULTILINESTRING ((770096.838362677 85992.3797910407,770082.449280384 85969.7743146493,770069.305397217 85941.5201445746,770066.353400997 85935.1714512989,770064.770204365 85916.2552719568,770073.58499664 85893.9397972508,770085.904284495 85878.4229153741,770098.685370372 85879.912614841))","19179"
"MULTILINESTRING ((733186.468770487 77646.8242498581,733185.349870313 77665.4024289314,733186.336867244 77691.0644002177,733193.906158862 77690.075701908,733201.369150004 77696.8188949162,733216.051932486 77711.3156797793,733214.028030178 77770.9352127406,733211.349533161 77771.0453124111))","19180"
"MULTILINESTRING ((764036.76774514 86739.8375447619,764034.99054796 86729.7758557102,764039.782643256 86723.2506633227,764060.833620507 86718.8396700028,764106.278771548 86707.4693864646,764246.438411576 86776.7962220642,764373.170172623 86773.5487365753,764372.826871891 86786.3817223903,764386.856056469 86786.5010234691,764387.087957406 86772.6757387395,764610.596912208 86768.8154622765,764630.750390221 86767.0651659466,764641.224178841 86765.6245684379,764734.879976859 86755.2832879248,764748.573661885 86754.5121899571,764799.484807758 86733.7520172428,764814.404391914 86727.4458254855,764823.655181839 86726.4588273722,764876.780125523 86702.9274579046,764902.736098063 86690.7764735448,765008.55658589 86643.9266343318,765014.010278867 86655.8821216207,765021.582170829 86652.6781258065,765017.024676875 86640.6119387171,765127.521459543 86594.0983995338,765201.830282064 86546.3496585863,765297.529483365 86472.2879484881,765336.065441699 86464.7897600741,765337.624139969 86465.0131599623,765360.872711153 86503.192519876,765370.338900951 86500.9817231297,765373.793197261 86499.7690247647))","19181"
"MULTILINESTRING ((761101.811507062 90937.1264525079,761065.85154718 90931.2452558299,761062.622850863 90929.8061571345,760986.911336397 90905.4215773985,760973.098051728 90904.0876776522,760932.687497017 90895.2087838946,760912.647220421 90880.1572987658,760907.854224984 90888.2306894144,760899.504234758 90881.6979959013,760905.856028497 90873.402905634,760887.72004981 90858.241320797,760876.040665081 90831.0200498663,760862.589482564 90800.8120820831,760842.118108982 90756.9882287347,760780.911381333 90701.0865851481,760764.098500894 90689.2451967568))","19189"
