WKT,OBJECTID
"MULTILINESTRING ((755425.613736323 93550.977152135,755430.953730612 93548.8755549455,755451.996506701 93556.1943487058,755463.579193881 93556.4237494893,755495.661560317 93535.3115757848,755512.382045291 93496.7128201084,755518.199642115 93460.3235610058,755513.902253331 93387.9713409012,755512.260159486 93339.412594632,755533.889140297 93286.6583550971,755543.137631332 93272.6166715029,755551.500423504 93256.803389796,755634.143734291 93233.1807233846,755648.834818057 93233.1893246853,755685.578677128 93236.8549238994,755702.621358258 93237.3100249192,755790.360760569 93245.6604234902,755912.194727903 93223.9430584651,755915.540624907 93216.0915674726,755911.200829722 93215.8663673355,755920.771418308 93225.2739577552,755991.046142465 93205.1858863137,756039.37329022 93192.3819048335,756047.951180793 93191.8306062109,756066.881860226 93187.9661121891,756087.270338315 93181.1259215976,756102.187622181 93177.2591272182,756171.237747402 93160.4896519844,756209.533703756 93175.5516387002,756273.977327666 93230.4618835592,756323.742571094 93248.4048681078,756395.670190745 93258.5169633229,756450.566529567 93264.6319614503,756457.136022113 93266.8519595765,756484.283188685 93305.3656192945,756507.628957646 93364.1182562321,756520.426742323 93377.3942426537,756541.24391844 93387.3648334618,756559.285298456 93388.0430343237,756681.690968297 93331.9175075149,756715.990730249 93333.8201084741,756851.257577368 93373.056477078,756871.648455811 93362.3405907842,756880.568948416 93334.9098219965,756881.810749946 93302.5045580342,756871.182070451 93204.4825657575,756870.625271549 93199.0674717104,756876.109369113 93158.5794170884,756899.075947473 93116.9981652404,756901.760146731 93092.1134930687,756900.542248809 93083.9255020381,756839.254727264 92963.2034304014,756833.933337176 92917.9523800943,756844.756027406 92893.5175081494,756872.160798764 92875.3881306931,756948.788816867 92845.0115712062,756957.359107721 92841.4746758906,757019.958741297 92811.3123149114,757224.916125024 92699.2684573835,757226.484224693 92683.562374932,757278.045068089 92680.050783419,757282.377762171 92692.7747697045,757364.456972887 92677.9969933987,757418.024514033 92674.9318015729,757552.891267368 92650.3475408418,757605.906211656 92618.9647803449,757696.948419911 92521.0024970098,757724.454790994 92504.8666173393,757718.450198557 92494.357728449,757726.135090578 92488.7248353754,757733.931781037 92499.2348244244,757771.335038863 92509.3264165765,757777.570832119 92507.7816188425,757843.597057835 92523.7502070327,757887.224505759 92567.9115619919,757966.474413759 92618.9554125062,758026.927044025 92652.9458802427,758083.920578651 92680.8609544013,758088.368373101 92688.0495468348,758096.825662505 92702.2131318986,758093.579763598 92730.0928007244,758096.804259309 92738.282091939))","23867"
"MULTILINESTRING ((771678.131030877 80108.4584883274,771676.123132923 80110.2285862196,771667.076038237 80165.4259248832,771675.30042643 80199.3973882766,771700.124598356 80210.6959779342,771726.748469423 80208.6053824387,771734.207361344 80207.7284840193,771773.415418788 80204.0959912583,771804.361783803 80218.05007851,771818.380866778 80238.5325571928,771843.959633308 80304.9224864512,771872.048188322 80476.8595000778,771880.830577038 80497.1072785851,771881.499875865 80502.4211728082,771907.435545226 80529.9759447231,771914.673137791 80524.2306516297,771919.12323254 80528.8787468986,771916.002335491 80534.4132405659,771932.031116682 80549.9077248936,771969.099073237 80585.1097893433,772035.10019462 80662.9184094442,772071.153451297 80709.95226083,772063.026359267 80720.89924814,772110.984300513 80796.9365686907,772151.156052982 80840.4303243097,772144.588759403 80849.5051138042,772148.252754687 80858.0197047649,772156.50014642 80849.0664152794,772243.329245363 80922.9085414915,772269.492615032 80943.7131208438,772344.412928773 80996.1929695141,772344.850628147 80997.9644676074,772344.41222869 80997.1945684158))","23872"
"MULTILINESTRING ((733154.866881484 75332.0734439172,733149.634487438 75330.6333451406,733107.547134456 75330.6150419964,733106.544935542 75331.0570414253,733106.2107359 75331.278141153))","23873"
"MULTILINESTRING ((734301.858667821 74436.0102345088,734301.632667733 74440.5435294112,734309.194256439 74478.705687207,734309.082256553 74478.8168870735))","23874"
"MULTILINESTRING ((775358.416217847 76386.4058700158,775333.607148346 76343.8011146533,775333.625751216 76308.0619537827,775323.378162747 76303.6334578016,775327.655664215 76227.8454411219,775312.232290919 76105.4771738467,775312.797391062 76096.0743841869,775306.692500669 76059.5625236669,775290.160828987 75931.9913619987,775288.830131097 75923.8115708463,775282.504141394 75881.6522164939,775282.282241965 75877.5626209527,775278.956848178 75845.4756558147,775269.101368025 75732.5132786904,775257.421681971 75717.4566942335,775250.292690218 75711.5924000803,775228.47291488 75700.740810203,775135.923315487 75704.5599985708,775136.912512907 75723.2645781723,775133.570816593 75722.7064785144,775123.105727926 75723.6932765916,775104.501548299 75722.5801763128,775105.522149121 75698.5724026813))","23876"
"MULTILINESTRING ((731330.320333846 79100.101275632,731328.879336425 79087.5942895675,731331.10183417 79084.6101930921,731331.783235032 79063.5940167491,731313.633555628 79059.8310195718,731308.401862147 79051.1977288659,731313.259268651 78896.6855027858,731322.512259085 78886.519714919,731325.517955833 78885.0841167634))","23879"
"MULTILINESTRING ((772889.179723337 83486.9349824208,772896.52031444 83497.2322717472,772905.093304232 83507.0850616671,772898.966410428 83512.9422547187,772879.92363265 83496.3327713211))","23888"
"MULTILINESTRING ((773734.919151291 82876.6097238481,773725.344962245 82870.7437294677,773702.164885892 82890.417505925))","23890"
"MULTILINESTRING ((743305.372019092 69372.6454564224,743302.917521864 69371.9860569799,743310.717512735 69378.5071502783,743306.143217651 69380.721047479,743290.999133495 69393.9913315916))","23893"
"MULTILINESTRING ((765649.69038671 93372.6206700533,765654.27328305 93357.462787189,765654.377383133 93355.2559896343,765656.051381777 93349.9437956452,765669.668470744 93306.583844709,765671.371073551 93254.9271018437,765687.104461203 93200.3949634191,765726.447122036 93155.6137163757))","23897"
